Month,Sales
1/1/1901,266
2/1/1901,145.9
3/1/1901,183.1
4/1/1901,119.3
5/1/1901,180.3
6/1/1901,168.5
7/1/1901,231.8
8/1/1901,224.5
9/1/1901,192.8
10/1/1901,122.9
11/1/1901,336.5
12/1/1901,185.9
1/1/1902,194.3
2/1/1902,149.5
3/1/1902,210.1
4/1/1902,273.3
5/1/1902,191.4
6/1/1902,287
7/1/1902,226
8/1/1902,303.6
9/1/1902,289.9
10/1/1902,421.6
11/1/1902,264.5
12/1/1902,342.3
1/1/1903,339.7
2/1/1903,440.4
3/1/1903,315.9
4/1/1903,439.3
5/1/1903,401.3
6/1/1903,437.4
7/1/1903,575.5
8/1/1903,407.6
9/1/1903,682
10/1/1903,475.3
11/1/1903,581.3
12/1/1903,646.9
